mandi_id,mandi_name,target_year,target_month,target_month_name,forecast_price,forecast_low,forecast_high,last_actual_price,last_year_same_month,rank_next_month,vs_last_month_pct
M079,Pimpalgaon Baswant APMC,2026,7,Jul,1788.0,1555.0,1884.0,1837.576923076923,1390.6153846153843,1,-2.7
M051,Lasalgaon APMC,2026,7,Jul,1684.0,1457.0,1972.0,1724.423076923077,1433.28,2,-2.3
M049,Lasalgaon(Niphad) APMC,2026,7,Jul,1654.0,1416.0,1907.0,1693.9615384615386,1397.8636363636365,3,-2.4
M050,Lasalgaon(Vinchur) APMC,2026,7,Jul,1636.0,1411.0,1931.0,1682.0,1428.2608695652175,4,-2.7
M058,Mangal Wedha APMC,2026,7,Jul,1589.0,1429.0,1788.0,1579.090909090909,1476.6666666666667,5,0.6
M066,Nasik APMC,2026,7,Jul,1518.0,1277.0,1703.0,1556.25,983.4782608695652,6,-2.5
M083,Pune(Pimpri) APMC,2026,7,Jul,1490.0,1248.0,1723.0,1505.0,1538.4615384615386,7,-1.0
M081,Pune(Manjri) APMC,2026,7,Jul,1488.0,1254.0,1710.0,1510.0,1029.6296296296296,8,-1.5
M094,Satara APMC,2026,7,Jul,1453.0,1237.0,1661.0,1470.0,1492.0,9,-1.2
M084,Pune APMC,2026,7,Jul,1334.0,1166.0,1653.0,1354.0,1543.75,10,-1.5
M046,Kolhapur APMC,2026,7,Jul,1223.0,1187.0,1427.0,1216.0,1133.3333333333333,11,0.6
M082,Pune(Moshi) APMC,2026,7,Jul,1083.0,999.0,1391.0,1101.923076923077,1142.0,12,-1.7
M013,Bhusaval APMC,2026,7,Jul,1057.0,912.0,1254.0,1116.6666666666667,1028.0,13,-5.3
M016,Chattrapati Sambhajinagar APMC,2026,7,Jul,1028.0,909.0,1292.0,1066.8461538461538,872.32,14,-3.6
