mandi_id,mandi_name,avg_modal_price,total_arrivals,avg_daily_arrivals,reporting_days,first_report,last_report,pct_vs_state_avg,rs_vs_state_avg,price_rank,pct_coverage
M013,Bhusaval APMC,1581.6,25798.0,44.3,582,2024-06-01,2026-06-30,-9.6,-168.0,11,76.6
M016,Chattrapati Sambhajinagar APMC,1272.6,1591893.0,2778.2,573,2024-06-01,2026-06-30,-27.3,-477.0,14,75.4
M046,Kolhapur APMC,1528.1,2686445.0,4688.4,573,2024-06-01,2026-06-30,-12.7,-222.0,12,75.4
M049,Lasalgaon(Niphad) APMC,2028.7,2320920.0,4144.5,560,2024-06-01,2026-06-30,15.9,279.0,1,73.7
M050,Lasalgaon(Vinchur) APMC,1963.0,5290453.0,9584.2,552,2024-06-01,2026-06-30,12.2,213.0,4,72.6
M051,Lasalgaon APMC,1993.2,7327146.0,14063.6,521,2024-06-01,2026-06-30,13.9,244.0,3,68.6
M058,Mangal Wedha APMC,1723.1,64746.0,118.8,545,2024-06-01,2026-06-29,-1.5,-27.0,10,71.7
M066,Nasik APMC,1768.1,1509230.0,2749.1,549,2024-06-01,2026-06-30,1.0,18.0,7,72.2
M079,Pimpalgaon Baswant APMC,1998.6,10061608.0,17745.3,567,2024-06-01,2026-06-30,14.2,249.0,2,74.6
M081,Pune(Manjri) APMC,1744.5,48773.0,72.4,674,2024-06-01,2026-06-30,-0.3,-5.0,9,88.7
M082,Pune(Moshi) APMC,1394.0,432988.0,730.2,593,2024-06-01,2026-06-30,-20.3,-356.0,13,78.0
M083,Pune(Pimpri) APMC,1927.9,8895.0,12.9,688,2024-06-01,2026-06-30,10.2,178.0,5,90.5
M084,Pune APMC,1745.0,6488420.0,11363.3,571,2024-06-02,2026-06-30,-0.3,-5.0,8,75.1
M094,Satara APMC,1847.4,147102.0,259.9,566,2024-06-01,2026-06-30,5.6,98.0,6,74.5
