kind,label,rs_vs_baseline,ci_low,ci_high,significant,sort_order
month,Jan,0.0,0.0,0.0,No / baseline,1
month,Feb,221.0,79.6,361.6,Yes,2
month,Mar,-102.0,-220.1,17.1,No / baseline,3
month,Apr,-606.0,-693.5,-519.3,Yes,4
month,May,-694.0,-783.1,-605.3,Yes,5
month,Jun,36.0,-92.3,165.1,No / baseline,6
month,Jul,184.0,43.5,325.4,Yes,7
month,Aug,-490.0,-576.4,-403.2,Yes,8
month,Sep,717.0,458.9,975.3,Yes,9
month,Oct,622.0,395.9,848.5,Yes,10
month,Nov,759.0,491.1,1026.5,Yes,11
month,Dec,393.0,210.6,575.0,Yes,12
mandi,Bhusaval APMC,0.0,0.0,0.0,No / baseline,99
mandi,Chattrapati Sambhajinagar APMC,-272.0,-362.0,-181.6,Yes,99
mandi,Kolhapur APMC,55.0,-43.5,153.3,No / baseline,99
mandi,Lasalgaon(Niphad) APMC,613.0,492.9,733.6,Yes,99
mandi,Lasalgaon(Vinchur) APMC,731.0,585.8,876.6,Yes,99
mandi,Lasalgaon APMC,923.0,737.0,1109.2,Yes,99
mandi,Mangal Wedha APMC,138.0,35.2,240.4,Yes,99
mandi,Nasik APMC,274.0,161.7,386.7,Yes,99
mandi,Pimpalgaon Baswant APMC,1000.0,790.3,1209.1,Yes,99
mandi,Pune(Manjri) APMC,139.0,41.8,235.9,Yes,99
mandi,Pune(Moshi) APMC,-207.0,-293.4,-120.4,Yes,99
mandi,Pune(Pimpri) APMC,341.0,245.3,435.8,Yes,99
mandi,Pune APMC,552.0,389.4,713.7,Yes,99
mandi,Satara APMC,266.0,173.4,358.7,Yes,99
