mandi_id,mandi_name,month_num,avg_modal_price,median_modal_price,min_modal_price,max_modal_price,avg_arrivals,observations,month_name,seasonal_index,month_rank,rs_above_worst_month,evidence,recommendation,best_month,best_month_price,rs_gain_if_wait_for_peak,forecast_mae_rs,forecast_mape_pct,price_range_low,price_range_high
M013,Bhusaval APMC,1,1415.1,1200.0,800.0,2500.0,24.9,53,Jan,89.7,8,469.0,Adequate,HOLD IF YOU CAN,Oct,2336.2,921.0,168.0,13.9,1218.0,1612.0
M013,Bhusaval APMC,2,1557.8,1400.0,800.0,2600.0,26.8,45,Feb,98.7,6,612.0,Adequate,HOLD IF YOU CAN,Oct,2336.2,778.0,168.0,13.9,1341.0,1774.0
M013,Bhusaval APMC,3,1183.3,1000.0,800.0,2300.0,210.7,48,Mar,75.0,9,237.0,Adequate,STORE OR HOLD,Oct,2336.2,1153.0,168.0,13.9,1019.0,1348.0
M013,Bhusaval APMC,4,1028.0,1050.0,800.0,1400.0,69.2,50,Apr,65.1,11,82.0,Adequate,STORE OR HOLD,Oct,2336.2,1308.0,168.0,13.9,885.0,1171.0
M013,Bhusaval APMC,5,946.2,900.0,800.0,1300.0,65.8,52,May,60.0,12,0.0,Adequate,STORE OR HOLD,Oct,2336.2,1390.0,168.0,13.9,815.0,1078.0
M013,Bhusaval APMC,6,1498.6,1200.0,800.0,3000.0,22.0,73,Jun,95.0,7,552.0,Adequate,HOLD IF YOU CAN,Oct,2336.2,838.0,168.0,13.9,1290.0,1707.0
M013,Bhusaval APMC,7,1831.4,2200.0,800.0,3000.0,13.3,51,Jul,116.1,5,885.0,Adequate,SELL NOW,Oct,2336.2,505.0,168.0,13.9,1577.0,2086.0
M013,Bhusaval APMC,8,1068.0,1000.0,900.0,1300.0,17.1,25,Aug,67.7,10,122.0,Thin (<40 obs),STORE OR HOLD,Oct,2336.2,1268.0,168.0,13.9,920.0,1216.0
M013,Bhusaval APMC,9,2114.3,1000.0,800.0,4200.0,16.0,42,Sep,134.0,2,1168.0,Adequate,SELL NOW,Oct,2336.2,222.0,168.0,13.9,1820.0,2408.0
M013,Bhusaval APMC,10,2336.2,2500.0,800.0,4200.0,14.6,47,Oct,148.1,1,1390.0,Adequate,SELL NOW,Oct,2336.2,0.0,168.0,13.9,2011.0,2661.0
M013,Bhusaval APMC,11,2068.8,1450.0,800.0,4000.0,17.5,48,Nov,131.1,3,1123.0,Adequate,SELL NOW,Oct,2336.2,267.0,168.0,13.9,1781.0,2356.0
M013,Bhusaval APMC,12,1887.5,1600.0,800.0,3800.0,28.6,48,Dec,119.6,4,941.0,Adequate,SELL NOW,Oct,2336.2,449.0,168.0,13.9,1625.0,2150.0
M016,Chattrapati Sambhajinagar APMC,1,1385.3,1250.0,850.0,2750.0,2464.2,51,Jan,109.6,5,759.0,Adequate,GOOD TO SELL,Sep,1812.7,427.0,168.0,13.9,1193.0,1578.0
M016,Chattrapati Sambhajinagar APMC,2,1287.8,1050.0,600.0,2400.0,2325.7,40,Feb,101.9,7,661.0,Adequate,GOOD TO SELL,Sep,1812.7,525.0,168.0,13.9,1109.0,1467.0
M016,Chattrapati Sambhajinagar APMC,3,1024.1,975.0,550.0,1800.0,3542.5,50,Mar,81.0,9,398.0,Adequate,STORE OR HOLD,Sep,1812.7,789.0,168.0,13.9,882.0,1166.0
M016,Chattrapati Sambhajinagar APMC,4,714.1,700.0,300.0,1200.0,3929.0,48,Apr,56.5,11,88.0,Adequate,STORE OR HOLD,Sep,1812.7,1099.0,168.0,13.9,615.0,813.0
M016,Chattrapati Sambhajinagar APMC,5,626.4,580.0,400.0,1150.0,3544.9,50,May,49.6,12,0.0,Adequate,STORE OR HOLD,Sep,1812.7,1186.0,168.0,13.9,539.0,713.0
M016,Chattrapati Sambhajinagar APMC,6,1195.0,1000.0,450.0,2000.0,3171.8,72,Jun,94.5,8,569.0,Adequate,HOLD IF YOU CAN,Sep,1812.7,618.0,168.0,13.9,1029.0,1361.0
M016,Chattrapati Sambhajinagar APMC,7,1333.8,1000.0,760.0,2250.0,2245.8,47,Jul,105.5,6,707.0,Adequate,GOOD TO SELL,Sep,1812.7,479.0,168.0,13.9,1148.0,1519.0
M016,Chattrapati Sambhajinagar APMC,8,889.3,887.5,750.0,1100.0,2975.2,24,Aug,70.4,10,263.0,Thin (<40 obs),STORE OR HOLD,Sep,1812.7,923.0,168.0,13.9,766.0,1013.0
M016,Chattrapati Sambhajinagar APMC,9,1812.7,875.0,600.0,3800.0,2672.4,49,Sep,143.4,1,1186.0,Adequate,SELL NOW,Sep,1812.7,0.0,168.0,13.9,1561.0,2065.0
M016,Chattrapati Sambhajinagar APMC,10,1740.1,1900.0,550.0,3250.0,1841.7,43,Oct,137.7,2,1114.0,Adequate,SELL NOW,Sep,1812.7,73.0,168.0,13.9,1498.0,1982.0
M016,Chattrapati Sambhajinagar APMC,11,1544.9,1100.0,675.0,3650.0,1751.9,47,Nov,122.2,4,918.0,Adequate,SELL NOW,Sep,1812.7,268.0,168.0,13.9,1330.0,1760.0
M016,Chattrapati Sambhajinagar APMC,12,1614.1,1400.0,725.0,3050.0,2546.6,52,Dec,127.7,3,988.0,Adequate,SELL NOW,Sep,1812.7,199.0,168.0,13.9,1390.0,1838.0
M046,Kolhapur APMC,1,1520.4,1300.0,1000.0,2300.0,5533.1,49,Jan,100.5,6,522.0,Adequate,GOOD TO SELL,Oct,2093.3,573.0,168.0,13.9,1309.0,1732.0
M046,Kolhapur APMC,2,1466.7,1200.0,800.0,2200.0,6478.8,42,Feb,96.9,7,469.0,Adequate,HOLD IF YOU CAN,Oct,2093.3,627.0,168.0,13.9,1263.0,1671.0
M046,Kolhapur APMC,3,1195.7,1100.0,800.0,1900.0,6229.4,46,Mar,79.0,9,198.0,Adequate,STORE OR HOLD,Oct,2093.3,898.0,168.0,13.9,1029.0,1362.0
M046,Kolhapur APMC,4,998.0,1000.0,800.0,1200.0,5182.0,51,Apr,66.0,12,0.0,Adequate,STORE OR HOLD,Oct,2093.3,1095.0,168.0,13.9,859.0,1137.0
M046,Kolhapur APMC,5,1051.0,1000.0,900.0,1500.0,5505.8,49,May,69.5,10,53.0,Adequate,STORE OR HOLD,Oct,2093.3,1042.0,168.0,13.9,905.0,1197.0
M046,Kolhapur APMC,6,1443.8,1200.0,1000.0,2200.0,4024.0,73,Jun,95.4,8,446.0,Adequate,HOLD IF YOU CAN,Oct,2093.3,650.0,168.0,13.9,1243.0,1644.0
M046,Kolhapur APMC,7,1709.8,2200.0,1000.0,2500.0,3214.3,51,Jul,113.0,5,712.0,Adequate,GOOD TO SELL,Oct,2093.3,384.0,168.0,13.9,1472.0,1947.0
M046,Kolhapur APMC,8,1004.3,1000.0,800.0,1200.0,3741.6,23,Aug,66.4,11,6.0,Thin (<40 obs),STORE OR HOLD,Oct,2093.3,1089.0,168.0,13.9,865.0,1144.0
M046,Kolhapur APMC,9,2027.1,1000.0,800.0,3400.0,3321.5,48,Sep,134.0,2,1029.0,Adequate,SELL NOW,Oct,2093.3,66.0,168.0,13.9,1745.0,2309.0
M046,Kolhapur APMC,10,2093.3,2800.0,800.0,3500.0,3752.0,45,Oct,138.4,1,1095.0,Adequate,SELL NOW,Oct,2093.3,0.0,168.0,13.9,1802.0,2384.0
M046,Kolhapur APMC,11,1827.3,1050.0,900.0,3200.0,4680.6,44,Nov,120.8,3,829.0,Adequate,SELL NOW,Oct,2093.3,266.0,168.0,13.9,1573.0,2081.0
M046,Kolhapur APMC,12,1817.3,1850.0,1000.0,2800.0,4704.5,52,Dec,120.1,4,819.0,Adequate,SELL NOW,Oct,2093.3,276.0,168.0,13.9,1565.0,2070.0
M049,Lasalgaon(Niphad) APMC,1,1916.0,1850.0,1100.0,2551.0,4263.7,48,Jan,95.8,7,866.0,Adequate,HOLD IF YOU CAN,Nov,3161.0,1245.0,168.0,13.9,1650.0,2182.0
M049,Lasalgaon(Niphad) APMC,2,1750.5,1250.0,900.0,3150.0,6802.2,44,Feb,87.5,8,700.0,Adequate,HOLD IF YOU CAN,Nov,3161.0,1410.0,168.0,13.9,1507.0,1994.0
M049,Lasalgaon(Niphad) APMC,3,1329.6,1300.0,825.0,2350.0,4008.0,45,Mar,66.5,10,279.0,Adequate,STORE OR HOLD,Nov,3161.0,1831.0,168.0,13.9,1145.0,1514.0
M049,Lasalgaon(Niphad) APMC,4,1050.2,1131.0,761.0,1350.0,3580.6,43,Apr,52.5,12,0.0,Adequate,STORE OR HOLD,Nov,3161.0,2111.0,168.0,13.9,904.0,1196.0
M049,Lasalgaon(Niphad) APMC,5,1115.2,1100.0,850.0,1441.0,4156.0,47,May,55.8,11,65.0,Adequate,STORE OR HOLD,Nov,3161.0,2046.0,168.0,13.9,960.0,1270.0
M049,Lasalgaon(Niphad) APMC,6,1988.0,1700.0,1300.0,3200.0,4818.8,75,Jun,99.4,6,938.0,Adequate,HOLD IF YOU CAN,Nov,3161.0,1173.0,168.0,13.9,1712.0,2264.0
M049,Lasalgaon(Niphad) APMC,7,2244.9,2741.0,1300.0,3025.0,4836.6,53,Jul,112.3,4,1195.0,Adequate,GOOD TO SELL,Nov,3161.0,916.0,168.0,13.9,1933.0,2557.0
M049,Lasalgaon(Niphad) APMC,8,1428.4,1385.0,1270.0,1650.0,6880.8,18,Aug,71.4,9,378.0,Thin (<40 obs),STORE OR HOLD,Nov,3161.0,1733.0,168.0,13.9,1230.0,1627.0
M049,Lasalgaon(Niphad) APMC,9,2904.0,3950.0,1050.0,4900.0,4366.9,49,Sep,145.2,3,1854.0,Adequate,SELL NOW,Nov,3161.0,257.0,168.0,13.9,2500.0,3308.0
M049,Lasalgaon(Niphad) APMC,10,3016.5,4050.5,1000.0,4600.0,3505.9,42,Oct,150.8,2,1966.0,Adequate,SELL NOW,Nov,3161.0,144.0,168.0,13.9,2597.0,3436.0
M049,Lasalgaon(Niphad) APMC,11,3161.0,1700.0,950.0,5800.0,2424.2,43,Nov,158.1,1,2111.0,Adequate,SELL NOW,Nov,3161.0,0.0,168.0,13.9,2722.0,3600.0
M049,Lasalgaon(Niphad) APMC,12,2094.2,1951.0,950.0,4301.0,1513.8,53,Dec,104.7,5,1044.0,Adequate,GOOD TO SELL,Nov,3161.0,1067.0,168.0,13.9,1803.0,2385.0
M050,Lasalgaon(Vinchur) APMC,1,1865.7,1800.0,1080.0,2500.0,13575.0,51,Jan,95.7,7,772.0,Adequate,HOLD IF YOU CAN,Oct,2904.0,1038.0,168.0,13.9,1606.0,2125.0
M050,Lasalgaon(Vinchur) APMC,2,1706.8,1212.5,930.0,3100.0,14429.6,40,Feb,87.6,8,613.0,Adequate,HOLD IF YOU CAN,Oct,2904.0,1197.0,168.0,13.9,1470.0,1944.0
M050,Lasalgaon(Vinchur) APMC,3,1353.6,1280.0,875.0,2300.0,9599.6,37,Mar,69.5,10,260.0,Thin (<40 obs),STORE OR HOLD,Oct,2904.0,1550.0,168.0,13.9,1165.0,1542.0
M050,Lasalgaon(Vinchur) APMC,4,1093.7,1100.0,600.0,1300.0,6207.2,49,Apr,56.1,12,0.0,Adequate,STORE OR HOLD,Oct,2904.0,1810.0,168.0,13.9,942.0,1246.0
M050,Lasalgaon(Vinchur) APMC,5,1155.7,1122.5,1000.0,1400.0,10956.5,50,May,59.3,11,62.0,Adequate,STORE OR HOLD,Oct,2904.0,1748.0,168.0,13.9,995.0,1316.0
M050,Lasalgaon(Vinchur) APMC,6,1964.9,1600.0,1300.0,3200.0,13128.2,73,Jun,100.8,6,871.0,Adequate,GOOD TO SELL,Oct,2904.0,939.0,168.0,13.9,1692.0,2238.0
M050,Lasalgaon(Vinchur) APMC,7,2183.5,2662.5,1270.0,3050.0,10724.1,50,Jul,112.0,5,1090.0,Adequate,GOOD TO SELL,Oct,2904.0,720.0,168.0,13.9,1880.0,2487.0
M050,Lasalgaon(Vinchur) APMC,8,1430.0,1450.0,1270.0,1650.0,9580.6,21,Aug,73.4,9,336.0,Thin (<40 obs),STORE OR HOLD,Oct,2904.0,1474.0,168.0,13.9,1231.0,1629.0
M050,Lasalgaon(Vinchur) APMC,9,2664.7,1350.0,1050.0,4750.0,6186.9,46,Sep,136.7,3,1571.0,Adequate,SELL NOW,Oct,2904.0,239.0,168.0,13.9,2294.0,3035.0
M050,Lasalgaon(Vinchur) APMC,10,2904.0,4000.0,970.0,4550.0,4771.7,39,Oct,149.0,1,1810.0,Thin (<40 obs),SELL NOW,Oct,2904.0,0.0,168.0,13.9,2500.0,3308.0
