mandi_id,mandi_name,month_num,avg_modal_price,median_modal_price,min_modal_price,max_modal_price,avg_arrivals,observations,month_name,seasonal_index,month_rank,rs_above_worst_month,evidence
M013,Bhusaval APMC,1,1415.1,1200.0,800.0,2500.0,24.9,53,Jan,89.7,8,469.0,Adequate
M013,Bhusaval APMC,2,1557.8,1400.0,800.0,2600.0,26.8,45,Feb,98.7,6,612.0,Adequate
M013,Bhusaval APMC,3,1183.3,1000.0,800.0,2300.0,210.7,48,Mar,75.0,9,237.0,Adequate
M013,Bhusaval APMC,4,1028.0,1050.0,800.0,1400.0,69.2,50,Apr,65.1,11,82.0,Adequate
M013,Bhusaval APMC,5,946.2,900.0,800.0,1300.0,65.8,52,May,60.0,12,0.0,Adequate
M013,Bhusaval APMC,6,1498.6,1200.0,800.0,3000.0,22.0,73,Jun,95.0,7,552.0,Adequate
M013,Bhusaval APMC,7,1831.4,2200.0,800.0,3000.0,13.3,51,Jul,116.1,5,885.0,Adequate
M013,Bhusaval APMC,8,1068.0,1000.0,900.0,1300.0,17.1,25,Aug,67.7,10,122.0,Thin (<40 obs)
M013,Bhusaval APMC,9,2114.3,1000.0,800.0,4200.0,16.0,42,Sep,134.0,2,1168.0,Adequate
M013,Bhusaval APMC,10,2336.2,2500.0,800.0,4200.0,14.6,47,Oct,148.1,1,1390.0,Adequate
M013,Bhusaval APMC,11,2068.8,1450.0,800.0,4000.0,17.5,48,Nov,131.1,3,1123.0,Adequate
M013,Bhusaval APMC,12,1887.5,1600.0,800.0,3800.0,28.6,48,Dec,119.6,4,941.0,Adequate
M016,Chattrapati Sambhajinagar APMC,1,1385.3,1250.0,850.0,2750.0,2464.2,51,Jan,109.6,5,759.0,Adequate
M016,Chattrapati Sambhajinagar APMC,2,1287.8,1050.0,600.0,2400.0,2325.7,40,Feb,101.9,7,661.0,Adequate
M016,Chattrapati Sambhajinagar APMC,3,1024.1,975.0,550.0,1800.0,3542.5,50,Mar,81.0,9,398.0,Adequate
M016,Chattrapati Sambhajinagar APMC,4,714.1,700.0,300.0,1200.0,3929.0,48,Apr,56.5,11,88.0,Adequate
M016,Chattrapati Sambhajinagar APMC,5,626.4,580.0,400.0,1150.0,3544.9,50,May,49.6,12,0.0,Adequate
