"Date Wise Prices for Specified Commodity on January, 2025 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
01/01/2025,1481.0,Red,1200.0,2712.0,2200.0
02/01/2025,1332.2,Red,1090.0,2651.0,2070.0
03/01/2025,1316.8,Red,1212.0,2781.0,2200.0
04/01/2025,1406.7,Red,1201.0,2764.0,2280.0
06/01/2025,1114.0,Red,1201.0,2726.0,2280.0
07/01/2025,1120.0,Red,1000.0,2726.0,2200.0
08/01/2025,1212.5,Red,1000.0,2675.0,2180.0
09/01/2025,1313.0,Red,800.0,2651.0,1980.0
10/01/2025,1708.4,Red,700.0,2535.0,1780.0
11/01/2025,1956.9,Red,300.0,2370.0,1670.0
13/01/2025,1337.6,Red,600.0,2401.0,1750.0
14/01/2025,1120.0,Red,852.0,2391.0,1980.0
16/01/2025,1543.0,Red,1000.0,2275.0,1880.0
17/01/2025,1012.2,Red,1060.0,2500.0,2030.0
18/01/2025,1650.1,Red,1200.0,2659.0,2080.0
20/01/2025,1320.0,Red,1000.0,2691.0,2250.0
22/01/2025,1475.9,Red,800.0,2550.0,2180.0
23/01/2025,1375.4,Red,1002.0,2600.0,2250.0
24/01/2025,1520.0,Red,1145.0,2700.0,2280.0
27/01/2025,1365.8,Red,1016.0,2636.0,1980.0
28/01/2025,1220.0,Red,1030.0,2671.0,2000.0
30/01/2025,1573.1,Red,1000.0,2552.0,2000.0
31/01/2025,1417.0,Red,1100.0,2596.0,2030.0
Market Name : APMC CHANDRAPUR
07/01/2025,100.9,Other,2000.0,3000.0,2500.0
Market Name : APMC Yawal
01/01/2025,2.5,Red,1230.0,1600.0,1500.0
02/01/2025,64.0,Red,1210.0,1630.0,1470.0
07/01/2025,60.0,Red,1225.0,1640.0,1450.0
08/01/2025,113.0,Red,1200.0,1600.0,1400.0
09/01/2025,189.0,Red,1200.0,1630.0,1400.0
11/01/2025,92.0,Red,1200.0,1630.0,1400.0
12/01/2025,76.0,Red,1220.0,1650.0,1400.0
13/01/2025,40.0,Red,1220.0,1650.0,1410.0
15/01/2025,35.0,Red,1230.0,1600.0,1410.0
16/01/2025,138.5,Red,1230.0,1600.0,1410.0
17/01/2025,55.0,Red,1240.0,1600.0,1310.0
22/01/2025,61.0,Red,1250.0,1600.0,1330.0
23/01/2025,52.5,Red,1260.0,1610.0,1330.0
24/01/2025,75.0,Red,1240.0,1610.0,1300.0
29/01/2025,105.5,Red,1230.0,1600.0,1300.0
30/01/2025,52.5,Red,1210.0,1600.0,1310.0
31/01/2025,70.0,Red,1250.0,1600.0,1310.0
Market Name : Ahilyanagar APMC
02/01/2025,5696.8,Red,300.0,3300.0,2700.0
04/01/2025,5247.6,Red,400.0,3350.0,2600.0
06/01/2025,5990.3,Red,400.0,3200.0,2300.0
16/01/2025,3164.0,Red,300.0,2800.0,1800.0
18/01/2025,4758.8,Red,400.0,2800.0,1900.0
23/01/2025,4297.8,Red,500.0,3200.0,2300.0
25/01/2025,4423.9,Red,400.0,3000.0,2400.0
30/01/2025,4784.4,Red,300.0,2600.0,1800.0
Market Name : Akluj APMC
05/01/2025,35.0,Red,800.0,4000.0,2800.0
10/01/2025,31.6,Red,350.0,2700.0,1600.0
12/01/2025,51.5,Red,300.0,2800.0,1780.0
15/01/2025,20.5,Red,300.0,2600.0,1600.0
19/01/2025,32.5,Red,300.0,3000.0,1500.0
22/01/2025,22.5,Red,300.0,3200.0,1800.0
Market Name : Akola APMC
01/01/2025,56.0,Other,2000.0,3200.0,2500.0
