"Date Wise Prices for Specified Commodity on June, 2025 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
02/06/2025,741.9,Other,300.0,1825.0,1100.0
03/06/2025,715.8,Other,412.0,1801.0,1280.0
04/06/2025,728.0,Other,426.0,2002.0,1350.0
05/06/2025,633.7,Other,370.0,1970.0,1410.0
06/06/2025,797.0,Other,400.0,2400.0,1480.0
09/06/2025,795.7,Other,412.0,2350.0,1480.0
10/06/2025,947.4,Other,500.0,2300.0,1480.0
11/06/2025,903.4,Other,526.0,2101.0,1460.0
12/06/2025,900.0,Other,430.0,2037.0,1500.0
13/06/2025,792.8,Other,552.0,2214.0,1530.0
14/06/2025,1215.6,Other,440.0,2085.0,1480.0
16/06/2025,739.9,Other,501.0,1953.0,1370.0
17/06/2025,1459.8,Other,503.0,1951.0,1420.0
18/06/2025,728.9,Other,501.0,1831.0,1330.0
19/06/2025,491.3,Other,503.0,1801.0,1420.0
20/06/2025,600.0,Other,555.0,1899.0,1520.0
21/06/2025,534.6,Other,511.0,1850.0,1580.0
23/06/2025,827.0,Other,511.0,2150.0,1490.0
24/06/2025,800.0,Other,540.0,2200.0,1550.0
26/06/2025,824.5,Other,525.0,2121.0,1530.0
27/06/2025,986.9,Other,580.0,1953.0,1480.0
28/06/2025,766.6,Other,503.0,1833.0,1440.0
30/06/2025,812.0,Other,524.0,1880.0,1430.0
Market Name : APMC CHANDRAPUR
10/06/2025,109.0,Other,1200.0,1800.0,1600.0
Market Name : APMC Yawal
01/06/2025,111.0,Red,790.0,1060.0,882.0
Market Name : Ahilyanagar APMC
02/06/2025,3271.6,Other,200.0,1500.0,1000.0
05/06/2025,2600.4,Other,200.0,1700.0,1100.0
07/06/2025,1484.8,Other,200.0,1900.0,1250.0
12/06/2025,3006.3,Other,250.0,2100.0,1450.0
19/06/2025,2815.2,Other,200.0,2000.0,1350.0
21/06/2025,2537.1,Other,250.0,2050.0,1400.0
23/06/2025,3486.9,Other,250.0,2000.0,1350.0
26/06/2025,2990.2,Other,200.0,1800.0,1200.0
28/06/2025,2701.4,Other,200.0,1800.0,1250.0
Market Name : Akluj APMC
01/06/2025,39.5,Red,300.0,1500.0,900.0
,,Other,200.0,1500.0,800.0
04/06/2025,35.9,Other,200.0,1600.0,800.0
06/06/2025,16.5,Other,200.0,1600.0,900.0
08/06/2025,33.5,Red,200.0,1500.0,800.0
11/06/2025,22.9,Other,200.0,2300.0,1200.0
13/06/2025,21.0,Red,200.0,2200.0,900.0
15/06/2025,61.8,Other,200.0,2100.0,900.0
20/06/2025,18.5,Other,300.0,2000.0,1000.0
22/06/2025,38.8,Red,300.0,2500.0,1200.0
25/06/2025,40.5,Other,200.0,1800.0,1300.0
27/06/2025,38.5,Other,200.0,2000.0,1400.0
29/06/2025,56.8,Red,200.0,1700.0,1000.0
Market Name : Akola APMC
02/06/2025,47.5,Other,500.0,1500.0,1100.0
03/06/2025,37.0,Other,500.0,1500.0,1100.0
04/06/2025,16.0,Other,500.0,1500.0,1200.0
05/06/2025,36.0,Other,500.0,1600.0,1200.0
06/06/2025,34.5,Other,500.0,1600.0,1200.0
10/06/2025,15.2,Other,500.0,1600.0,1200.0
11/06/2025,9.9,Other,500.0,1600.0,1200.0
12/06/2025,20.8,Other,500.0,1700.0,1300.0
13/06/2025,41.7,Other,500.0,1700.0,1200.0
14/06/2025,42.0,Other,600.0,1600.0,1200.0
16/06/2025,59.0,Other,500.0,1800.0,1400.0
