"Date Wise Prices for Specified Commodity on October, 2025 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
01/10/2025,700.0,Other,427.0,1580.0,1160.0
03/10/2025,843.5,Other,625.0,1550.0,1180.0
06/10/2025,1084.2,Other,376.0,1450.0,1130.0
07/10/2025,1028.9,Other,625.0,1336.0,1060.0
08/10/2025,1067.0,Other,401.0,1300.0,990.0
09/10/2025,1050.0,Other,300.0,1313.0,950.0
11/10/2025,769.2,Other,300.0,1181.0,900.0
13/10/2025,2470.4,Other,460.0,1261.0,990.0
14/10/2025,821.5,Other,421.0,1400.0,1020.0
15/10/2025,855.4,Other,215.0,1351.0,980.0
16/10/2025,720.0,Other,440.0,1490.0,950.0
27/10/2025,436.2,Other,225.0,1675.0,1290.0
28/10/2025,564.7,Other,502.0,1686.0,1280.0
29/10/2025,587.0,Other,673.0,1676.0,1300.0
30/10/2025,488.5,Other,700.0,1930.0,1430.0
31/10/2025,481.4,Other,600.0,1971.0,1560.0
Market Name : Ahilyanagar APMC
02/10/2025,4469.8,Other,200.0,1600.0,1100.0
,,Red,200.0,1000.0,600.0
11/10/2025,4338.7,Red,100.0,800.0,550.0
,,Other,200.0,1500.0,950.0
13/10/2025,4130.7,Other,200.0,1500.0,950.0
,,Red,100.0,700.0,500.0
25/10/2025,1901.4,Other,500.0,1900.0,1300.0
27/10/2025,4397.6,Other,300.0,2000.0,1150.0
Market Name : Akluj APMC
12/10/2025,48.5,Other,200.0,1400.0,800.0
15/10/2025,35.5,Other,200.0,1600.0,800.0
17/10/2025,32.5,Other,200.0,1500.0,900.0
26/10/2025,25.9,Other,300.0,2600.0,1700.0
29/10/2025,27.6,Other,250.0,1700.0,1100.0
31/10/2025,30.6,Other,200.0,1700.0,900.0
Market Name : Akola APMC
03/10/2025,36.0,Other,500.0,1600.0,1100.0
04/10/2025,30.7,Other,500.0,1600.0,1200.0
09/10/2025,30.5,Other,600.0,1600.0,1200.0
13/10/2025,88.5,Other,600.0,1700.0,1200.0
14/10/2025,56.5,Other,600.0,1600.0,1200.0
15/10/2025,49.7,Other,600.0,1600.0,1200.0
16/10/2025,49.0,Other,600.0,1600.0,1200.0
18/10/2025,59.2,Other,600.0,1600.0,1200.0
24/10/2025,22.0,Other,500.0,1400.0,1100.0
25/10/2025,13.5,Other,600.0,1600.0,1200.0
27/10/2025,33.0,Other,600.0,1800.0,1300.0
28/10/2025,34.0,Other,600.0,1800.0,1300.0
29/10/2025,58.5,Other,600.0,1800.0,1300.0
30/10/2025,63.0,Other,600.0,1600.0,1200.0
31/10/2025,53.0,Other,600.0,1600.0,1100.0
Market Name : Akole APMC
02/10/2025,121.0,Other,150.0,1611.0,1300.0
05/10/2025,129.8,Other,150.0,1625.0,1351.0
07/10/2025,81.5,Other,200.0,1601.0,1300.0
09/10/2025,99.0,Other,125.0,1611.0,1100.0
12/10/2025,143.0,Other,100.0,1651.0,1300.0
14/10/2025,89.5,Other,150.0,1611.0,1200.0
16/10/2025,129.5,Other,111.0,1500.0,1200.0
19/10/2025,112.3,Other,200.0,1601.0,1000.0
26/10/2025,102.6,Other,200.0,2101.0,1500.0
28/10/2025,137.4,Other,190.0,1800.0,1400.0
30/10/2025,205.0,Other,150.0,1800.0,1351.0
Market Name : Amrawati(Frui & Veg. Market) APMC
01/10/2025,34.8,Local,600.0,2400.0,1500.0
03/10/2025,31.8,Local,1000.0,3200.0,2100.0
04/10/2025,40.8,Local,1000.0,3000.0,2000.0
06/10/2025,34.8,Local,1000.0,3000.0,2000.0
07/10/2025,40.8,Local,800.0,3000.0,1900.0
08/10/2025,27.0,Local,1200.0,3200.0,2200.0
12/10/2025,36.9,Local,800.0,3000.0,1900.0
13/10/2025,33.8,Local,1000.0,3000.0,2000.0
14/10/2025,40.8,Local,800.0,3000.0,1900.0
15/10/2025,31.8,Local,1000.0,3000.0,2000.0
17/10/2025,44.9,Local,1000.0,2000.0,1500.0
18/10/2025,49.7,Local,1000.0,1500.0,1250.0
26/10/2025,11.9,Local,800.0,1800.0,1300.0
27/10/2025,21.0,Local,700.0,1800.0,1250.0
28/10/2025,30.9,Local,700.0,1900.0,1300.0
29/10/2025,40.7,Local,800.0,1800.0,1300.0
31/10/2025,21.0,Local,700.0,3000.0,1650.0
Market Name : Bhusaval APMC
01/10/2025,0.7,Other,800.0,1000.0,1000.0
02/10/2025,1.5,Other,800.0,1200.0,1000.0
04/10/2025,1.5,Other,800.0,1200.0,1000.0
07/10/2025,1.5,Other,800.0,1200.0,1000.0
08/10/2025,1.9,Other,800.0,1200.0,1000.0
09/10/2025,5.0,Other,800.0,1200.0,1000.0
10/10/2025,1.4,Other,900.0,1200.0,1000.0
12/10/2025,2.3,Other,1000.0,1500.0,1200.0
14/10/2025,2.4,Other,1000.0,1500.0,1200.0
15/10/2025,2.6,Other,1000.0,1500.0,1200.0
16/10/2025,2.6,Other,500.0,1000.0,800.0
17/10/2025,6.8,Other,500.0,1000.0,800.0
18/10/2025,0.7,Other,500.0,1000.0,800.0
19/10/2025,6.6,Other,800.0,1000.0,900.0
20/10/2025,0.6,Other,800.0,1000.0,1000.0
21/10/2025,0.1,Other,1000.0,1000.0,1000.0
23/10/2025,0.2,Other,1000.0,1000.0,1000.0
26/10/2025,3.0,Other,700.0,1000.0,900.0
28/10/2025,1.6,Other,500.0,1000.0,800.0
29/10/2025,2.4,Other,800.0,1000.0,1000.0
30/10/2025,3.3,Other,700.0,1000.0,900.0
31/10/2025,1.9,Other,700.0,1000.0,900.0
