"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
01/12/2025,322.6,Other,400.0,1551.0,950.0
,196.5,Red,440.0,4700.0,1900.0
03/12/2025,550.0,Other,400.0,1595.0,1000.0
,300.0,Red,440.0,2960.0,1500.0
04/12/2025,305.0,Red,352.0,4451.0,2100.0
,262.0,Other,451.0,1611.0,1100.0
05/12/2025,391.6,Red,400.0,4848.0,2150.0
06/12/2025,400.0,Other,400.0,1470.0,950.0
,350.0,Red,450.0,4647.0,1850.0
08/12/2025,243.9,Other,100.0,1900.0,1317.0
,344.4,Red,100.0,4201.0,1786.0
09/12/2025,300.0,Other,400.0,2000.0,1500.0
,400.0,Red,453.0,3890.0,1900.0
10/12/2025,306.0,Other,500.0,2151.0,1670.0
,405.0,Red,570.0,5000.0,2150.0
11/12/2025,500.0,Red,500.0,4700.0,2250.0
,350.0,Other,400.0,2223.0,1560.0
12/12/2025,595.5,Other,431.0,4201.0,2030.0
,299.0,Red,431.0,4201.0,2030.0
13/12/2025,650.0,Red,500.0,4000.0,2050.0
,300.0,Other,430.0,2300.0,1750.0
15/12/2025,250.0,Red,400.0,2681.0,2000.0
,550.0,Other,530.0,4100.0,2080.0
16/12/2025,650.0,Red,502.0,5100.0,2170.0
,250.0,Other,700.0,2480.0,2000.0
17/12/2025,201.0,Other,400.0,2799.0,2030.0
,750.0,Red,340.0,4500.0,2000.0
18/12/2025,604.5,Red,461.0,3501.0,1900.0
,155.5,Other,472.0,2501.0,1450.0
19/12/2025,845.5,Red,700.0,3500.0,2100.0
22/12/2025,1000.0,Red,400.0,2600.0,1580.0
23/12/2025,1002.0,Red,200.0,2500.0,1650.0
24/12/2025,1005.7,Red,600.0,2500.0,1700.0
26/12/2025,1500.0,Red,530.0,2254.0,1800.0
29/12/2025,920.0,Other,580.0,2450.0,1980.0
30/12/2025,36.8,Other,840.0,1780.0,900.0
,1518.2,Red,600.0,2540.0,1880.0
31/12/2025,50.2,Other,1079.0,1811.0,1630.0
