"Date Wise Prices for Specified Commodity on June, 2024 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
01/06/2024,573.2,Other,900.0,2246.0,1880.0
03/06/2024,576.5,Other,745.0,2290.0,1860.0
04/06/2024,366.6,Other,700.0,2291.0,2000.0
05/06/2024,420.0,Other,1100.0,2375.0,2070.0
07/06/2024,765.3,Other,1500.0,2565.0,2280.0
08/06/2024,320.0,Other,1070.0,2610.0,2450.0
10/06/2024,971.7,Other,1080.0,2775.0,2400.0
11/06/2024,1050.0,Other,1000.0,2780.0,2380.0
12/06/2024,1149.5,Other,1000.0,2780.0,2380.0
13/06/2024,1070.0,Other,1302.0,2625.0,2300.0
14/06/2024,720.0,Other,1053.0,2676.0,2300.0
15/06/2024,850.0,Other,1050.0,2799.0,2480.0
18/06/2024,720.0,Other,1697.0,3000.0,2470.0
19/06/2024,720.0,Other,1425.0,3575.0,2870.0
20/06/2024,720.0,Other,1800.0,3861.0,2930.0
22/06/2024,1120.0,Other,1000.0,3399.0,2800.0
24/06/2024,930.0,Other,1340.0,3399.0,2750.0
25/06/2024,720.0,Other,1201.0,3753.0,2850.0
26/06/2024,920.0,Other,1500.0,3151.0,2700.0
27/06/2024,720.0,Other,853.0,3281.0,2680.0
28/06/2024,720.0,Other,1520.0,3380.0,2900.0
29/06/2024,490.5,Other,1751.0,3291.0,2980.0
Market Name : APMC Nandurbar
05/06/2024,11.0,Red,1800.0,2050.0,1905.0
08/06/2024,15.6,Red,1865.0,2155.0,2060.0
10/06/2024,19.6,Red,2105.0,2550.0,2430.0
11/06/2024,8.0,Red,2120.0,2585.0,2565.0
13/06/2024,8.7,Red,2120.0,2400.0,2350.0
14/06/2024,10.3,Red,2160.0,2405.0,2350.0
Market Name : APMC Yawal
01/06/2024,15.0,Red,1370.0,1840.0,1630.0
Market Name : Ahilyanagar APMC
01/06/2024,3349.3,Other,300.0,2600.0,1950.0
03/06/2024,2916.6,Other,200.0,2500.0,1850.0
06/06/2024,2433.6,Other,300.0,2700.0,2200.0
10/06/2024,4114.1,Other,400.0,3100.0,2400.0
17/06/2024,3131.7,Other,300.0,3100.0,2300.0
22/06/2024,4563.7,Other,500.0,3100.0,2450.0
27/06/2024,4055.5,Other,600.0,3100.0,2400.0
29/06/2024,3460.3,Other,500.0,3150.0,2050.0
Market Name : Akluj APMC
02/06/2024,27.0,Other,400.0,2300.0,1200.0
05/06/2024,28.0,Other,300.0,2600.0,1500.0
07/06/2024,24.0,Other,500.0,3000.0,1800.0
09/06/2024,28.0,Red,500.0,3500.0,2000.0
12/06/2024,20.5,Other,500.0,3100.0,2000.0
14/06/2024,33.7,Other,500.0,3000.0,2100.0
16/06/2024,35.0,Red,700.0,3400.0,2200.0
19/06/2024,38.0,Red,600.0,3200.0,2200.0
23/06/2024,52.6,Red,800.0,3200.0,2200.0
26/06/2024,27.0,Red,500.0,3200.0,2100.0
30/06/2024,43.0,Red,600.0,3000.0,2200.0
Market Name : Akola APMC
01/06/2024,35.4,Other,700.0,1700.0,1400.0
03/06/2024,71.8,Other,700.0,2000.0,1400.0
04/06/2024,47.0,Other,700.0,2000.0,1500.0
05/06/2024,49.3,Other,800.0,2000.0,1500.0
06/06/2024,30.4,Other,1200.0,2100.0,1500.0
07/06/2024,20.3,Other,1200.0,2200.0,1600.0
08/06/2024,45.2,Other,1400.0,2600.0,2200.0
10/06/2024,102.9,Other,1500.0,3200.0,2000.0
11/06/2024,46.6,Other,1500.0,3000.0,2000.0
12/06/2024,40.4,Other,1500.0,3200.0,2500.0
13/06/2024,28.3,Other,1500.0,3000.0,2500.0
14/06/2024,41.0,Other,1500.0,3000.0,2500.0
15/06/2024,17.8,Other,1500.0,2800.0,2500.0
18/06/2024,50.0,Other,1500.0,3400.0,2800.0
19/06/2024,19.7,Other,2000.0,3500.0,2500.0
20/06/2024,40.5,Other,2200.0,3000.0,2500.0
22/06/2024,44.0,Other,2000.0,3400.0,2800.0
24/06/2024,62.4,Other,1500.0,3400.0,2800.0
25/06/2024,11.3,Other,2000.0,3400.0,2800.0
26/06/2024,17.7,Other,1800.0,3400.0,2900.0
27/06/2024,54.6,Other,2000.0,3000.0,2600.0
28/06/2024,36.2,Other,1500.0,3000.0,2500.0
29/06/2024,16.2,Other,1800.0,3000.0,2500.0
Market Name : Akole APMC
06/06/2024,91.4,Other,400.0,2775.0,2200.0
09/06/2024,143.9,Other,700.0,3636.0,2700.0
11/06/2024,177.1,Other,400.0,3000.0,2200.0
13/06/2024,104.3,Other,600.0,3000.0,2200.0
16/06/2024,62.2,Other,300.0,3000.0,2200.0
23/06/2024,133.4,Other,800.0,3351.0,2875.0
25/06/2024,84.4,Other,400.0,3151.0,2651.0
30/06/2024,102.6,Other,1000.0,3200.0,2675.0
Market Name : Amrawati(Frui & Veg. Market) APMC
01/06/2024,51.0,Red,600.0,2000.0,1300.0
02/06/2024,64.8,Local,700.0,2000.0,1350.0
03/06/2024,60.9,Local,600.0,2000.0,1300.0
04/06/2024,42.0,Local,600.0,1800.0,1200.0
05/06/2024,54.0,Local,700.0,2000.0,1350.0
07/06/2024,48.0,Local,600.0,2000.0,1300.0
08/06/2024,60.9,Local,700.0,2000.0,1350.0
09/06/2024,40.8,Local,1500.0,2500.0,2000.0
10/06/2024,51.0,Local,1400.0,2500.0,1950.0
11/06/2024,46.8,Local,1400.0,2600.0,2000.0
12/06/2024,51.0,Local,600.0,2800.0,1700.0
14/06/2024,52.8,Local,900.0,2800.0,1850.0
15/06/2024,45.0,Local,1500.0,4000.0,2750.0
18/06/2024,28.8,Local,1500.0,4000.0,2750.0
19/06/2024,30.9,Local,1600.0,4000.0,2800.0
21/06/2024,40.8,Local,1500.0,3500.0,2500.0
22/06/2024,36.9,Local,1500.0,3500.0,2500.0
24/06/2024,42.0,Local,2000.0,3600.0,2800.0
25/06/2024,45.0,Local,2000.0,3200.0,2600.0
26/06/2024,34.9,Local,2200.0,3200.0,2700.0
28/06/2024,33.9,Local,2400.0,3200.0,2800.0
29/06/2024,34.8,Local,2600.0,3200.0,2900.0
30/06/2024,30.0,Local,2400.0,3200.0,2800.0
Market Name : Baramati APMC
01/06/2024,39.3,Red,400.0,2400.0,1500.0
03/06/2024,47.5,Red,300.0,2300.0,1550.0
05/06/2024,48.2,Red,400.0,2400.0,1600.0
08/06/2024,64.9,Red,600.0,3100.0,2200.0
10/06/2024,54.9,Red,500.0,3110.0,2250.0
12/06/2024,61.3,Red,600.0,3000.0,2200.0
15/06/2024,85.5,Red,450.0,3000.0,2100.0
17/06/2024,51.5,Red,650.0,2650.0,2000.0
19/06/2024,72.3,Red,500.0,3100.0,2200.0
22/06/2024,51.4,Red,500.0,3000.0,2200.0
24/06/2024,43.9,Red,900.0,3000.0,2200.0
26/06/2024,52.5,Red,500.0,3000.0,2200.0
29/06/2024,59.1,Red,500.0,3000.0,2300.0
Market Name : Bhusaval APMC
01/06/2024,0.9,Red,1500.0,2000.0,1800.0
02/06/2024,1.5,Red,1400.0,1800.0,1600.0
05/06/2024,1.5,Red,1400.0,1800.0,1500.0
07/06/2024,1.2,Red,1400.0,1800.0,1600.0
08/06/2024,0.5,Red,2000.0,2500.0,2200.0
09/06/2024,4.1,Red,1600.0,2000.0,1800.0
11/06/2024,2.3,Red,1700.0,2200.0,1800.0
12/06/2024,0.7,Red,1800.0,2500.0,2200.0
13/06/2024,1.5,Red,2000.0,2500.0,2200.0
14/06/2024,0.7,Red,2000.0,3000.0,2500.0
15/06/2024,0.7,Red,2000.0,3000.0,2400.0
16/06/2024,1.6,Red,2300.0,2800.0,2400.0
18/06/2024,0.4,Red,2000.0,3000.0,2500.0
19/06/2024,0.5,Red,2500.0,3000.0,3000.0
20/06/2024,0.9,Red,2200.0,3000.0,2500.0
21/06/2024,0.5,Red,2500.0,3100.0,3000.0
22/06/2024,1.3,Red,2200.0,3100.0,2800.0
23/06/2024,1.7,Red,2200.0,3000.0,2500.0
25/06/2024,0.8,Red,2200.0,3000.0,2500.0
26/06/2024,0.3,Red,2200.0,2500.0,2500.0
27/06/2024,0.8,Red,2000.0,2500.0,2200.0
28/06/2024,0.1,Red,2500.0,2500.0,2500.0
29/06/2024,0.4,Red,2200.0,2500.0,2500.0
30/06/2024,1.4,Red,2200.0,2800.0,2600.0
Market Name : Chandrapur(Ganjwad) APMC
01/06/2024,67.0,Other,1400.0,2000.0,1700.0
05/06/2024,30.0,Other,1300.0,2250.0,1600.0
06/06/2024,112.0,Other,1700.0,2500.0,2250.0
08/06/2024,48.6,Other,2000.0,2750.0,2300.0
10/06/2024,49.0,Other,2000.0,2750.0,2500.0
12/06/2024,41.9,Other,2200.0,2750.0,2400.0
13/06/2024,95.2,Other,2250.0,3000.0,2500.0
14/06/2024,95.2,Other,2000.0,3000.0,2500.0
21/06/2024,49.0,Other,2800.0,3250.0,3000.0
24/06/2024,31.1,Other,3000.0,3800.0,3500.0
25/06/2024,77.0,Other,2800.0,3250.0,3000.0
27/06/2024,30.2,Other,2400.0,3250.0,2800.0
28/06/2024,45.1,Other,2800.0,3500.0,3000.0
Market Name : Chattrapati Sambhajinagar APMC
01/06/2024,147.1,Other,600.0,2000.0,1300.0
03/06/2024,103.2,Other,500.0,2000.0,1250.0
04/06/2024,141.3,Other,700.0,2200.0,1450.0
05/06/2024,91.0,Other,700.0,2000.0,1350.0
06/06/2024,673.0,Other,700.0,2200.0,1450.0
08/06/2024,219.0,Other,1000.0,2700.0,1850.0
09/06/2024,336.0,Other,900.0,2800.0,1850.0
10/06/2024,210.6,Other,1000.0,2800.0,1900.0
11/06/2024,241.5,Other,1200.0,2600.0,1900.0
12/06/2024,118.9,Other,1200.0,2400.0,1800.0
