mandi_id,price_date,commodity,variety,arrivals,min_price,max_price,modal_price
M001,2024-06-01,Onion,Other,5732.0,900.0,2246.0,1880.0
M001,2024-06-03,Onion,Other,5765.0,745.0,2290.0,1860.0
M001,2024-06-04,Onion,Other,3666.0,700.0,2291.0,2000.0
M001,2024-06-05,Onion,Other,4200.0,1100.0,2375.0,2070.0
M001,2024-06-07,Onion,Other,7653.0,1500.0,2565.0,2280.0
M001,2024-06-08,Onion,Other,3200.0,1070.0,2610.0,2450.0
M001,2024-06-10,Onion,Other,9717.0,1080.0,2775.0,2400.0
M001,2024-06-11,Onion,Other,10500.0,1000.0,2780.0,2380.0
M001,2024-06-12,Onion,Other,11495.0,1000.0,2780.0,2380.0
M001,2024-06-13,Onion,Other,10700.0,1302.0,2625.0,2300.0
M001,2024-06-14,Onion,Other,7200.0,1053.0,2676.0,2300.0
M001,2024-06-15,Onion,Other,8500.0,1050.0,2799.0,2480.0
M001,2024-06-18,Onion,Other,7200.0,1697.0,3000.0,2470.0
M001,2024-06-19,Onion,Other,7200.0,1425.0,3575.0,2870.0
M001,2024-06-20,Onion,Other,7200.0,1800.0,3861.0,2930.0
M001,2024-06-22,Onion,Other,11200.0,1000.0,3399.0,2800.0
M001,2024-06-24,Onion,Other,9300.0,1340.0,3399.0,2750.0
M001,2024-06-25,Onion,Other,7200.0,1201.0,3753.0,2850.0
M001,2024-06-26,Onion,Other,9200.0,1500.0,3151.0,2700.0
M001,2024-06-27,Onion,Other,7200.0,853.0,3281.0,2680.0
M001,2024-06-28,Onion,Other,7200.0,1520.0,3380.0,2900.0
M001,2024-06-29,Onion,Other,4905.0,1751.0,3291.0,2980.0
M001,2024-07-01,Onion,Other,5437.0,1701.0,3400.0,3000.0
M001,2024-07-02,Onion,Other,8002.0,2001.0,3418.0,3050.0
M001,2024-07-03,Onion,Other,8896.0,701.0,3380.0,2950.0
M001,2024-07-04,Onion,Other,4200.0,1225.0,3336.0,2900.0
M001,2024-07-06,Onion,Other,8097.0,1201.0,3337.0,2980.0
M001,2024-07-08,Onion,Other,7920.0,1500.0,3291.0,2800.0
M001,2024-07-09,Onion,Other,7623.0,1700.0,3180.0,2780.0
M001,2024-07-10,Onion,Other,7131.0,1000.0,3199.0,2800.0
M001,2024-07-11,Onion,Other,7236.0,1530.0,3213.0,2780.0
M001,2024-07-12,Onion,Other,5200.0,1300.0,3154.0,2750.0
M001,2024-07-13,Onion,Other,5200.0,1301.0,3070.0,2680.0
M001,2024-07-16,Onion,Other,4200.0,1300.0,2990.0,2700.0
M001,2024-07-18,Onion,Other,7024.0,1300.0,2990.0,2700.0
M001,2024-07-19,Onion,Other,5200.0,1001.0,2981.0,2700.0
M001,2024-07-20,Onion,Other,4200.0,1460.0,3000.0,2670.0
M001,2024-07-22,Onion,Other,2700.0,1117.0,2941.0,2670.0
M001,2024-07-24,Onion,Other,3200.0,1440.0,2870.0,2700.0
M001,2024-07-25,Onion,Other,3200.0,1200.0,2854.0,2700.0
M001,2024-07-26,Onion,Other,4200.0,1300.0,2880.0,2700.0
M001,2024-07-27,Onion,Other,4200.0,911.0,2912.0,2650.0
M001,2024-07-29,Onion,Other,3552.0,911.0,2912.0,2650.0
M001,2024-07-31,Onion,Other,4914.0,1451.0,2886.0,2700.0
M001,2024-09-03,Onion,Other,2200.0,2502.0,4502.0,4280.0
M001,2024-09-04,Onion,Other,6110.0,1500.0,4399.0,3900.0
M001,2024-09-05,Onion,Other,5856.0,2201.0,4175.0,3820.0
M001,2024-09-06,Onion,Other,4331.0,1651.0,4151.0,3800.0
M001,2024-09-07,Onion,Other,1337.0,1100.0,4021.0,3780.0
M001,2024-09-09,Onion,Other,3523.0,1181.0,4101.0,3700.0
M001,2024-09-10,Onion,Other,3032.0,1787.0,4041.0,3810.0
M001,2024-09-11,Onion,Other,2774.0,1501.0,4251.0,3930.0
M001,2024-09-12,Onion,Other,2515.0,1200.0,4292.0,3950.0
M001,2024-09-13,Onion,Other,3076.0,1530.0,4350.0,4050.0
M001,2024-09-14,Onion,Other,2300.0,1500.0,4699.0,4400.0
M001,2024-09-16,Onion,Other,3200.0,1260.0,4845.0,4600.0
M001,2024-09-18,Onion,Other,3200.0,1500.0,4590.0,4330.0
M001,2024-09-20,Onion,Other,2292.0,2000.0,4790.0,4570.0
M001,2024-09-21,Onion,Other,1809.0,1502.0,4700.0,4550.0
