mandi_id,mandi_name,district,state
M001,Agriculture Produce Market Committee Chandwad,,Maharashtra
M002,Ahilyanagar APMC,,Maharashtra
M003,Akluj APMC,,Maharashtra
M004,Akola APMC,,Maharashtra
M005,Akole APMC,,Maharashtra
M006,Amrawati(Frui & Veg. Market) APMC,,Maharashtra
M007,APMC Chandrapur,,Maharashtra
M008,APMC Nandurbar,,Maharashtra
M009,APMC Yawal,,Maharashtra
M010,Ausa APMC,,Maharashtra
M011,Baramati APMC,,Maharashtra
M012,Barshi APMC,,Maharashtra
M013,Bhusaval APMC,,Maharashtra
M014,Chalisgaon APMC,,Maharashtra
M015,Chandrapur(Ganjwad) APMC,,Maharashtra
M016,Chattrapati Sambhajinagar APMC,,Maharashtra
M017,Devala APMC,,Maharashtra
M018,Dharashiv APMC,,Maharashtra
M019,Dhule APMC,,Maharashtra
M020,Dindori(Vani) APMC,,Maharashtra
M021,Dindori APMC,,Maharashtra
M022,Fulmbri APMC,,Maharashtra
M023,Gangapur APMC,,Maharashtra
M024,Gevrai APMC,,Maharashtra
M025,Hingna - APMC,,Maharashtra
M026,Indapur APMC,,Maharashtra
M027,Islampur APMC,,Maharashtra
M028,Jalana APMC,,Maharashtra
M029,Jalgaon APMC,,Maharashtra
M030,Jamkhed APMC,,Maharashtra
M031,"Janata Agri Market (Dls Agro Infrastructure Pvt Ltd), Dist Dhule",,Maharashtra
M032,Junnar(Alephata) APMC,,Maharashtra
M033,Junnar(Narayangaon) APMC,,Maharashtra
M034,Junnar(Otur) APMC,,Maharashtra
M035,Junnar APMC,,Maharashtra
M036,Kada(Ashti) APMC,,Maharashtra
M037,Kada APMC,,Maharashtra
M038,Kalvan APMC,,Maharashtra
M039,Kalyan APMC,,Maharashtra
M040,Kamthi APMC,,Maharashtra
M041,Karad APMC,,Maharashtra
M042,Karjat(Rashin) APMC,,Maharashtra
M043,Karjat APMC,,Maharashtra
M044,Khed(Chakan) APMC,,Maharashtra
M045,Khed APMC,,Maharashtra
M046,Kolhapur APMC,,Maharashtra
M047,Kopargaon APMC,,Maharashtra
M048,Kurdwadi(Modnimb) APMC,,Maharashtra
M049,Lasalgaon(Niphad) APMC,,Maharashtra
M050,Lasalgaon(Vinchur) APMC,,Maharashtra
M051,Lasalgaon APMC,,Maharashtra
M052,Lasur Station APMC,,Maharashtra
M053,"Laxmi-Sopan Agriculture Produce Marketing Co Ltd, Barshi, Dist Solapur",,Maharashtra
M054,Lonand APMC,,Maharashtra
M055,"Malharshree Khajgi Krushi Utpann Bajar, Chandanpuri Tal Malegaon, Nashik",,Maharashtra
M056,Malkapur APMC,,Maharashtra
M057,Manchar APMC,,Maharashtra
M058,Mangal Wedha APMC,,Maharashtra
M059,"Mankameshwr Fpc Sanchalit Mankameshwar Khajagi Krushi Utpanna Bajar Ltd, Nifad Nashik",,Maharashtra
M060,Manmad APMC,,Maharashtra
M061,Mumbai-Onion & Potato Market APMC,,Maharashtra
M062,Nagpur APMC,,Maharashtra
M063,Nampur APMC,,Maharashtra
M064,Nandgaon APMC,,Maharashtra
M065,Nandura APMC,,Maharashtra
M066,Nasik APMC,,Maharashtra
M067,Navapur APMC,,Maharashtra
M068,Newasa(Ghodegaon) APMC,,Maharashtra
M069,Newasa APMC,,Maharashtra
M070,"Omchatinya Multi State Agro Purpose Co-Op Society, Dist Ahilyanagar",,Maharashtra
M071,Paithan APMC,,Maharashtra
M072,Pandharpur APMC,,Maharashtra
M073,Paranda APMC,,Maharashtra
M074,Parner APMC,,Maharashtra
M075,Pathardi APMC,,Maharashtra
M076,Pen APMC,,Maharashtra
M077,Phaltan APMC,,Maharashtra
M078,Pimpalgaon Baswant(Saykheda) APMC,,Maharashtra
M079,Pimpalgaon Baswant APMC,,Maharashtra
M080,Pune(Khadiki) APMC,,Maharashtra
M081,Pune(Manjri) APMC,,Maharashtra
M082,Pune(Moshi) APMC,,Maharashtra
M083,Pune(Pimpri) APMC,,Maharashtra
M084,Pune APMC,,Maharashtra
M085,Rahata APMC,,Maharashtra
M086,Rahuri(Vambori) APMC,,Maharashtra
M087,Rahuri APMC,,Maharashtra
M088,Ramtek APMC,,Maharashtra
M089,Ratnagiri (Nachane) APMC,,Maharashtra
M090,Sakri APMC,,Maharashtra
M091,Sangamner APMC,,Maharashtra
M092,"Sangli(Phale, Bhajipala Market) APMC",,Maharashtra
M093,Satana APMC,,Maharashtra
M094,Satara APMC,,Maharashtra
M095,Shevgaon APMC,,Maharashtra
M096,Shirpur APMC,,Maharashtra
M097,Shirur APMC,,Maharashtra
M098,"Shivsiddha Govind Producer Company Ltd Sanchalit Khajgi Krush Utpann Bajar, Samati-Nashik",,Maharashtra
M099,"Shree Sairaj Krushi Market, Dist Ahilyanagar",,Maharashtra
M100,Shri.Siddheshwar APMC,,Maharashtra
M101,Shrigonda APMC,,Maharashtra
M102,"Shri Rameshwar Krushi Market, M.Nagar, Tal Deola, Dist Nashik",,Maharashtra
M103,Shrirampur APMC,,Maharashtra
M104,Sinner APMC,,Maharashtra
M105,Umrane APMC,,Maharashtra
M106,Vadgaonpeth APMC,,Maharashtra
M107,Vaduj APMC,,Maharashtra
M108,Vai APMC,,Maharashtra
M109,Vaijpur APMC,,Maharashtra
M110,Vita APMC,,Maharashtra
M111,Yeola APMC,,Maharashtra
