kind,label,rs_vs_baseline,ci_low,ci_high
month,Jan,0.0,0.0,0.0
month,Feb,220.61826437430514,79.64007961510131,361.59644913350894
month,Mar,-101.51676231074013,-220.12504472799026,17.091520106510004
month,Apr,-606.4089022308825,-693.5197164241666,-519.2980880375984
month,May,-694.1872580830565,-783.1155047592754,-605.2590114068375
month,Jun,36.41884227164878,-92.27847790567836,165.1161624489759
month,Jul,184.45769352145257,43.54473292921713,325.37065411368803
month,Aug,-489.8274877373861,-576.4204575192414,-403.23451795553075
month,Sep,717.0535134035098,458.85197528451374,975.2550515225058
month,Oct,622.2016023966796,395.92722104962075,848.4759837437384
month,Nov,758.7787497310502,491.08693186195904,1026.4705676001413
month,Dec,392.8204477075617,210.62146260952076,575.0194328056026
mandi,Bhusaval APMC,0.0,0.0,0.0
mandi,Chattrapati Sambhajinagar APMC,-271.78275358720833,-361.95497067210687,-181.6105365023098
mandi,Kolhapur APMC,54.89407480749562,-43.47752320332098,153.26567281831223
mandi,Lasalgaon(Niphad) APMC,613.249859777673,492.88963645143355,733.6100831039125
mandi,Lasalgaon(Vinchur) APMC,731.2062108896408,585.8478753708288,876.5645464084529
mandi,Lasalgaon APMC,923.0885429245922,736.9641052802859,1109.2129805688985
mandi,Mangal Wedha APMC,137.82357097327636,35.24384609609724,240.4032958504555
mandi,Nasik APMC,274.1874394096861,161.67942446982926,386.6954543495429
mandi,Pimpalgaon Baswant APMC,999.6816663716861,790.3129556415926,1209.0503771017795
mandi,Pune(Manjri) APMC,138.853145318859,41.84956832545092,235.85672231226707
mandi,Pune(Moshi) APMC,-206.896063732325,-293.4400159866035,-120.3521114780465
mandi,Pune(Pimpri) APMC,340.5273803286472,245.28265862456288,435.77210203273154
mandi,Pune APMC,551.5722247995303,389.4262685452858,713.7181810537749
mandi,Satara APMC,266.04548430859603,173.38675000853414,358.7042186086579
