mandi_name,yr,month_num,avg_price,avg_price_last_year,yoy_change_rs,yoy_change_pct,days_this_year,days_last_year
Bhusaval APMC,2025,1,1769.0,,,,26,
Bhusaval APMC,2026,1,1074.0,1769.0,-695.0,-39.3,27,26.0
Bhusaval APMC,2025,2,2119.0,,,,21,
Bhusaval APMC,2026,2,1067.0,2119.0,-1052.0,-49.7,24,21.0
Bhusaval APMC,2025,3,1567.0,,,,24,
Bhusaval APMC,2026,3,800.0,1567.0,-767.0,-48.9,24,24.0
Bhusaval APMC,2025,4,1216.0,,,,25,
Bhusaval APMC,2026,4,840.0,1216.0,-376.0,-30.9,25,25.0
Bhusaval APMC,2025,5,1092.0,,,,26,
Bhusaval APMC,2026,5,800.0,1092.0,-292.0,-26.8,26,26.0
Bhusaval APMC,2024,6,2296.0,,,,24,
Bhusaval APMC,2025,6,1100.0,2296.0,-1196.0,-52.1,25,24.0
Bhusaval APMC,2026,6,1117.0,1100.0,17.0,1.5,24,25.0
Bhusaval APMC,2024,7,2604.0,,,,26,
Bhusaval APMC,2025,7,1028.0,2604.0,-1576.0,-60.5,25,26.0
Bhusaval APMC,2025,8,1068.0,,,,25,
Bhusaval APMC,2024,9,3694.0,,,,18,
Bhusaval APMC,2025,9,929.0,3694.0,-2765.0,-74.8,24,18.0
Bhusaval APMC,2024,10,3536.0,,,,25,
Bhusaval APMC,2025,10,973.0,3536.0,-2563.0,-72.5,22,25.0
Bhusaval APMC,2024,11,3114.0,,,,22,
Bhusaval APMC,2025,11,1185.0,3114.0,-1929.0,-62.0,26,22.0
Bhusaval APMC,2024,12,2821.0,,,,24,
Bhusaval APMC,2025,12,954.0,2821.0,-1867.0,-66.2,24,24.0
Chattrapati Sambhajinagar APMC,2025,1,1727.0,,,,26,
Chattrapati Sambhajinagar APMC,2026,1,1030.0,1727.0,-697.0,-40.4,25,26.0
Chattrapati Sambhajinagar APMC,2025,2,1746.0,,,,19,
Chattrapati Sambhajinagar APMC,2026,2,873.0,1746.0,-873.0,-50.0,21,19.0
Chattrapati Sambhajinagar APMC,2025,3,1287.0,,,,25,
Chattrapati Sambhajinagar APMC,2026,3,761.0,1287.0,-527.0,-40.9,25,25.0
Chattrapati Sambhajinagar APMC,2025,4,844.0,,,,23,
Chattrapati Sambhajinagar APMC,2026,4,595.0,844.0,-249.0,-29.5,25,23.0
Chattrapati Sambhajinagar APMC,2025,5,729.0,,,,24,
Chattrapati Sambhajinagar APMC,2026,5,532.0,729.0,-198.0,-27.1,26,24.0
Chattrapati Sambhajinagar APMC,2024,6,1749.0,,,,20,
Chattrapati Sambhajinagar APMC,2025,6,897.0,1749.0,-852.0,-48.7,26,20.0
Chattrapati Sambhajinagar APMC,2026,6,1067.0,897.0,170.0,18.9,26,26.0
Chattrapati Sambhajinagar APMC,2024,7,1858.0,,,,22,
Chattrapati Sambhajinagar APMC,2025,7,872.0,1858.0,-986.0,-53.1,25,22.0
Chattrapati Sambhajinagar APMC,2025,8,889.0,,,,24,
Chattrapati Sambhajinagar APMC,2024,9,2925.0,,,,24,
Chattrapati Sambhajinagar APMC,2025,9,745.0,2925.0,-2179.0,-74.5,25,24.0
Chattrapati Sambhajinagar APMC,2024,10,2345.0,,,,26,
Chattrapati Sambhajinagar APMC,2025,10,815.0,2345.0,-1530.0,-65.3,17,26.0
Chattrapati Sambhajinagar APMC,2024,11,2251.0,,,,23,
Chattrapati Sambhajinagar APMC,2025,11,868.0,2251.0,-1383.0,-61.4,24,23.0
Chattrapati Sambhajinagar APMC,2024,12,2096.0,,,,27,
Chattrapati Sambhajinagar APMC,2025,12,1093.0,2096.0,-1003.0,-47.8,25,27.0
Kolhapur APMC,2025,1,1884.0,,,,25,
Kolhapur APMC,2026,1,1142.0,1884.0,-742.0,-39.4,24,25.0
Kolhapur APMC,2025,2,1965.0,,,,20,
Kolhapur APMC,2026,2,1014.0,1965.0,-951.0,-48.4,22,20.0
Kolhapur APMC,2025,3,1455.0,,,,22,
Kolhapur APMC,2026,3,958.0,1455.0,-496.0,-34.1,24,22.0
Kolhapur APMC,2025,4,1069.0,,,,26,
Kolhapur APMC,2026,4,924.0,1069.0,-145.0,-13.6,25,26.0
Kolhapur APMC,2025,5,1072.0,,,,25,
Kolhapur APMC,2026,5,1029.0,1072.0,-43.0,-4.0,24,25.0
Kolhapur APMC,2024,6,1942.0,,,,24,
Kolhapur APMC,2025,6,1183.0,1942.0,-758.0,-39.1,24,24.0
Kolhapur APMC,2026,6,1216.0,1183.0,33.0,2.8,25,24.0
Kolhapur APMC,2024,7,2222.0,,,,27,
Kolhapur APMC,2025,7,1133.0,2222.0,-1089.0,-49.0,24,27.0
Kolhapur APMC,2025,8,1004.0,,,,23,
Kolhapur APMC,2024,9,3187.0,,,,23,
Kolhapur APMC,2025,9,960.0,3187.0,-2227.0,-69.9,25,23.0
Kolhapur APMC,2024,10,3100.0,,,,24,
Kolhapur APMC,2025,10,943.0,3100.0,-2157.0,-69.6,21,24.0
Kolhapur APMC,2024,11,2748.0,,,,21,
Kolhapur APMC,2025,11,987.0,2748.0,-1761.0,-64.1,23,21.0
Kolhapur APMC,2024,12,2285.0,,,,26,
Kolhapur APMC,2025,12,1350.0,2285.0,-935.0,-40.9,26,26.0
Lasalgaon APMC,2025,1,2280.0,,,,26,
Lasalgaon APMC,2026,1,1512.0,2280.0,-768.0,-33.7,19,26.0
Lasalgaon APMC,2025,2,2462.0,,,,21,
Lasalgaon APMC,2026,2,1124.0,2462.0,-1338.0,-54.4,22,21.0
Lasalgaon APMC,2025,3,1722.0,,,,19,
Lasalgaon APMC,2026,3,1066.0,1722.0,-656.0,-38.1,16,19.0
Lasalgaon APMC,2025,4,1182.0,,,,22,
Lasalgaon APMC,2026,4,1027.0,1182.0,-154.0,-13.1,24,22.0
Lasalgaon APMC,2025,5,1199.0,,,,24,
Lasalgaon APMC,2026,5,1180.0,1199.0,-19.0,-1.6,23,24.0
Lasalgaon APMC,2024,6,2643.0,,,,23,
Lasalgaon APMC,2025,6,1546.0,2643.0,-1097.0,-41.5,25,23.0
Lasalgaon APMC,2026,6,1724.0,1546.0,178.0,11.5,26,25.0
Lasalgaon APMC,2024,7,2833.0,,,,21,
Lasalgaon APMC,2025,7,1433.0,2833.0,-1399.0,-49.4,25,21.0
Lasalgaon APMC,2025,8,1452.0,,,,17,
Lasalgaon APMC,2024,9,4322.0,,,,21,
Lasalgaon APMC,2025,9,1209.0,4322.0,-3113.0,-72.0,23,21.0
Lasalgaon APMC,2024,10,3828.0,,,,20,
Lasalgaon APMC,2025,10,1218.0,3828.0,-2610.0,-68.2,17,20.0
Lasalgaon APMC,2024,11,4568.0,,,,21,
Lasalgaon APMC,2025,11,1615.0,4568.0,-2953.0,-64.6,20,21.0
Lasalgaon APMC,2024,12,2754.0,,,,25,
Lasalgaon APMC,2025,12,1927.0,2754.0,-827.0,-30.0,21,25.0
Lasalgaon(Niphad) APMC,2025,1,2264.0,,,,26,
Lasalgaon(Niphad) APMC,2026,1,1505.0,2264.0,-759.0,-33.5,22,26.0
Lasalgaon(Niphad) APMC,2025,2,2456.0,,,,21,
Lasalgaon(Niphad) APMC,2026,2,1107.0,2456.0,-1349.0,-54.9,23,21.0
Lasalgaon(Niphad) APMC,2025,3,1724.0,,,,23,
Lasalgaon(Niphad) APMC,2026,3,917.0,1724.0,-807.0,-46.8,22,23.0
