mandi_name,month_num,avg_price,avg_arrivals,n_obs,seasonal_index,month_rank,rs_above_worst_month
Bhusaval APMC,1,1415.0,25.0,53,89.7,8,469.0
Bhusaval APMC,2,1558.0,27.0,45,98.7,6,612.0
Bhusaval APMC,3,1183.0,211.0,48,75.0,9,237.0
Bhusaval APMC,4,1028.0,69.0,50,65.1,11,82.0
Bhusaval APMC,5,946.0,66.0,52,60.0,12,0.0
Bhusaval APMC,6,1499.0,22.0,73,95.0,7,552.0
Bhusaval APMC,7,1831.0,13.0,51,116.1,5,885.0
Bhusaval APMC,8,1068.0,17.0,25,67.7,10,122.0
Bhusaval APMC,9,2114.0,16.0,42,134.0,2,1168.0
Bhusaval APMC,10,2336.0,15.0,47,148.1,1,1390.0
Bhusaval APMC,11,2069.0,17.0,48,131.1,3,1123.0
Bhusaval APMC,12,1888.0,29.0,48,119.6,4,941.0
Chattrapati Sambhajinagar APMC,1,1385.0,2464.0,51,109.6,5,759.0
Chattrapati Sambhajinagar APMC,2,1288.0,2326.0,40,101.9,7,661.0
Chattrapati Sambhajinagar APMC,3,1024.0,3543.0,50,81.0,9,398.0
Chattrapati Sambhajinagar APMC,4,714.0,3929.0,48,56.5,11,88.0
Chattrapati Sambhajinagar APMC,5,626.0,3545.0,50,49.6,12,0.0
Chattrapati Sambhajinagar APMC,6,1195.0,3172.0,72,94.5,8,569.0
Chattrapati Sambhajinagar APMC,7,1334.0,2246.0,47,105.5,6,707.0
Chattrapati Sambhajinagar APMC,8,889.0,2975.0,24,70.4,10,263.0
Chattrapati Sambhajinagar APMC,9,1813.0,2672.0,49,143.4,1,1186.0
Chattrapati Sambhajinagar APMC,10,1740.0,1842.0,43,137.7,2,1114.0
Chattrapati Sambhajinagar APMC,11,1545.0,1752.0,47,122.2,4,918.0
Chattrapati Sambhajinagar APMC,12,1614.0,2547.0,52,127.7,3,988.0
Kolhapur APMC,1,1520.0,5533.0,49,100.5,6,522.0
Kolhapur APMC,2,1467.0,6479.0,42,96.9,7,469.0
Kolhapur APMC,3,1196.0,6229.0,46,79.0,9,198.0
Kolhapur APMC,4,998.0,5182.0,51,66.0,12,0.0
Kolhapur APMC,5,1051.0,5506.0,49,69.5,10,53.0
Kolhapur APMC,6,1444.0,4024.0,73,95.4,8,446.0
Kolhapur APMC,7,1710.0,3214.0,51,113.0,5,712.0
Kolhapur APMC,8,1004.0,3742.0,23,66.4,11,6.0
Kolhapur APMC,9,2027.0,3322.0,48,134.0,2,1029.0
Kolhapur APMC,10,2093.0,3752.0,45,138.4,1,1095.0
Kolhapur APMC,11,1827.0,4681.0,44,120.8,3,829.0
Kolhapur APMC,12,1817.0,4705.0,52,120.1,4,819.0
Lasalgaon APMC,1,1956.0,24558.0,45,98.8,6,854.0
Lasalgaon APMC,2,1778.0,24440.0,43,89.8,8,676.0
Lasalgaon APMC,3,1422.0,12446.0,35,71.9,10,321.0
