variety,month_num,month_name,n_obs,avg_modal_price,min_modal_price,max_modal_price
Local,1,Jan,261,1762.0,600.0,3250.0
Local,2,Feb,230,1606.0,700.0,3100.0
Local,3,Mar,265,1345.0,650.0,3500.0
Local,4,Apr,265,1010.0,400.0,2000.0
Local,5,May,260,939.0,500.0,1700.0
Local,6,Jun,393,1559.0,400.0,3100.0
Local,7,Jul,252,1896.0,700.0,11000.0
Local,8,Aug,120,1204.0,600.0,1650.0
Local,9,Sep,257,2440.0,500.0,9500.0
Local,10,Oct,250,2105.0,600.0,5000.0
Local,11,Nov,250,2324.0,450.0,6400.0
Local,12,Dec,266,2225.0,500.0,4850.0
Other,1,Jan,250,1641.0,800.0,2750.0
Other,2,Feb,227,1610.0,600.0,2950.0
Other,3,Mar,281,1251.0,550.0,2500.0
Other,4,Apr,397,1020.0,300.0,1400.0
Other,5,May,301,1008.0,400.0,1500.0
Other,6,Jun,480,1738.0,450.0,3250.0
Other,7,Jul,420,1892.0,750.0,3100.0
Other,8,Aug,194,1231.0,725.0,1750.0
Other,9,Sep,406,2394.0,600.0,4900.0
Other,10,Oct,351,2408.0,550.0,4750.0
Other,11,Nov,339,2450.0,675.0,6001.0
Other,12,Dec,323,1885.0,725.0,5711.0
Red,1,Jan,195,1785.0,800.0,2551.0
Red,2,Feb,155,1640.0,800.0,3150.0
Red,3,Mar,116,1269.0,800.0,2350.0
Red,4,Apr,35,932.0,600.0,1300.0
Red,5,May,6,1183.0,1000.0,1300.0
Red,6,Jun,26,2212.0,1200.0,3000.0
Red,7,Jul,26,2604.0,2200.0,3000.0
Red,9,Sep,17,3676.0,3300.0,4200.0
Red,10,Oct,32,3411.0,2352.0,4200.0
Red,11,Nov,55,3314.0,1100.0,4500.0
Red,12,Dec,131,2520.0,1200.0,3851.0
Unhali,5,May,131,1048.0,750.0,1550.0
Unhali,6,Jun,151,1608.0,800.0,2400.0
